username;Data;stories
ocupa_politica;7/6/2018-6:26;0
agoramovimento;7/6/2018-6:26;9
as_muitas;7/6/2018-6:26;0
bancadaativista;7/6/2018-6:26;0
renovabr;7/6/2018-6:26;0
midianinja;7/6/2018-6:26;0
342artes;7/6/2018-6:26;0
movimentosemterra;7/6/2018-6:26;1
username;Data;stories
ocupa_politica;7/6/2018-6:27;0
agoramovimento;7/6/2018-6:27;9
as_muitas;7/6/2018-6:27;0
bancadaativista;7/6/2018-6:27;0
renovabr;7/6/2018-6:27;0
midianinja;7/6/2018-6:27;0
342artes;7/6/2018-6:27;0
movimentosemterra;7/6/2018-6:27;1
username;Data;stories
ocupa_politica;7/6/2018-8:17;0
agoramovimento;7/6/2018-8:17;9
as_muitas;7/6/2018-8:17;0
bancadaativista;7/6/2018-8:17;0
renovabr;7/6/2018-8:17;0
midianinja;7/6/2018-8:17;0
342artes;7/6/2018-8:17;0
movimentosemterra;7/6/2018-8:17;1
username;Data;stories
ocupa_politica;7/6/2018-8:17;0
agoramovimento;7/6/2018-8:17;9
as_muitas;7/6/2018-8:18;0
bancadaativista;7/6/2018-8:18;0
renovabr;7/6/2018-8:18;0
midianinja;7/6/2018-8:18;0
342artes;7/6/2018-8:18;0
movimentosemterra;7/6/2018-8:18;1
username;Data;stories
ocupa_politica;7/6/2018-8:21;0
agoramovimento;7/6/2018-8:21;9
as_muitas;7/6/2018-8:21;0
bancadaativista;7/6/2018-8:21;0
renovabr;7/6/2018-8:21;0
midianinja;7/6/2018-8:21;0
342artes;7/6/2018-8:21;0
username;Data;stories
ocupa_politica;7/6/2018-8:22;0
agoramovimento;7/6/2018-8:22;9
as_muitas;7/6/2018-8:22;0
bancadaativista;7/6/2018-8:22;0
renovabr;7/6/2018-8:22;0
midianinja;7/6/2018-8:22;0
342artes;7/6/2018-8:22;0
movimentosemterra;7/6/2018-8:22;1
uneoficial;7/6/2018-8:22;0
cutbrasil;7/6/2018-8:22;0
coletivojuntos;7/6/2018-8:22;1
movimentocorrenteza;7/6/2018-8:22;0
ujs_brasil;7/6/2018-8:22;1
ujr_brasil;7/6/2018-8:22;0
movimentoolga;7/6/2018-8:22;0
ubesoficial;7/6/2018-8:22;1
ujcbrasil;7/6/2018-8:22;0
rua_juventudeanticapitalista;7/6/2018-8:22;4
afronte.nacional;7/6/2018-8:22;10
contag;7/6/2018-8:22;0
portalgeledes;7/6/2018-8:22;0
marchamulheres;7/6/2018-8:22;0
naokahlo;7/6/2018-8:22;3
vemprarua_br;7/6/2018-8:22;0
revoltadoson;7/6/2018-8:22;0
estudantespelaliberdade;7/6/2018-8:22;0
mblivre;7/6/2018-8:22;3
movimentocontraacorrupcao;7/6/2018-8:22;0
nasruasbrasil;7/6/2018-8:22;0
luizinacioluladasilvaoficial;7/6/2018-8:22;2
fernandohaddadoficial;7/6/2018-8:22;0
cirogomes;7/6/2018-8:22;0
jdoriajr;7/6/2018-8:22;0
geraldoalckmin_;7/6/2018-8:22;1
jairmessiasbolsonaro;7/6/2018-8:22;1
micheltemer;7/6/2018-8:22;0
_marinasilva_;7/6/2018-8:22;5
levyfidelix28;7/6/2018-8:23;0
pastoreveraldo;7/6/2018-8:23;0
robertoljustus;7/6/2018-8:23;0
guilhermeboulos.oficial;7/6/2018-8:23;21
jaqueswagner;7/6/2018-8:23;2
fernando_collor;7/6/2018-8:23;0
buarquecristovam;7/6/2018-8:23;1
